profile,bc_mean,evc_mean,bc_sd,evc_sd,bc_n,evc_n
Administrator,1217.8220721505377,0.058643225806451614,6134.22100590602,0.14386677919067503,93,93
Researcher,625.8144147058823,0.046388529411764703,2277.8870976545886,0.12188343004770236,68,68
Teacher,510.48425459330144,0.034245502392344494,3723.2504125843993,0.08929332557999965,209,209
Other,124.62703715686274,0.019983039215686275,395.26010592558293,0.0384793223059757,102,102
